"moduleID","gene#","genelist"
"1","3783","LOC_Os08g35910 LOC_Os09g38268 LOC_Os02g26940 LOC_Os06g42770 LOC_Os12g04940 LOC_Os04g26240 LOC_Os07g47720 LOC_Os02g57910 LOC_Os09g19980 LOC_Os01g10860 LOC_Os11g24590 LOC_Os12g31350 LOC_Os09g14960 LOC_Os02g39100 LOC_Os03g58930 LOC_Os10g29514 LOC_Os05g24930 "
"10","258","LOC_Os07g38890 LOC_Os01g50280 LOC_Os01g13870 LOC_Os01g55640 LOC_Os04g36650 LOC_Os04g01560 LOC_Os06g03590 LOC_Os05g47680 LOC_Os01g71160 LOC_Os08g37150 LOC_Os05g05920 LOC_Os04g37570 LOC_Os08g43240 LOC_Os03g26370 LOC_Os03g24130 LOC_Os08g32370 LOC_Os12g41640 "
"100","18","LOC_Os07g07270 LOC_Os09g35920 LOC_Os11g05110 LOC_Os02g57510 LOC_Os12g35040 LOC_Os02g04260 LOC_Os02g13640 LOC_Os10g42420 LOC_Os03g62280 LOC_Os02g42314.2 LOC_Os06g03690 LOC_Os07g39630 LOC_Os01g56470 LOC_Os09g33800 LOC_Os12g43930 LOC_Os11g14180 LOC_Os05g1486"
"101","17","LOC_Os07g31070 LOC_Os08g15710 LOC_Os07g03220 LOC_Os05g05110 LOC_Os02g41710 LOC_Os09g01300 LOC_Os03g45450 LOC_Os08g41180 LOC_Os06g17560 LOC_Os11g28940 LOC_Os11g02470 LOC_Os01g10260 LOC_Os10g36520 LOC_Os11g41210 LOC_Os11g47630 LOC_Os12g36920 LOC_Os03g21710"
"102","17","LOC_Os01g36560 LOC_Os06g17920 LOC_Os11g44260 LOC_Os06g41740 LOC_Os05g50730 LOC_Os11g44960 LOC_Os04g57160 LOC_Os06g17900 LOC_Os09g28370 LOC_Os11g38440 LOC_Os10g04060 LOC_Os01g34900 LOC_Os08g42930 LOC_Os01g16600 LOC_Os04g31790 LOC_Os02g34650 LOC_Os03g60180"
"103","17","LOC_Os08g29040 LOC_Os11g16430 LOC_Os03g28270 LOC_Os01g11250 LOC_Os03g41010 LOC_Os06g35850 LOC_Os05g48200 LOC_Os05g45670 LOC_Os01g65169 LOC_Os01g16620 LOC_Os08g41640 LOC_Os04g27790 LOC_Os01g69840 LOC_Os01g45840 LOC_Os08g18000 LOC_Os08g38710 LOC_Os02g49880"
"104","17","LOC_Os01g61250 LOC_Os05g18750 LOC_Os06g03676 LOC_Os02g09820 LOC_Os05g16640 LOC_Os10g41390 LOC_Os07g02990 LOC_Os06g30440 LOC_Os08g27050 LOC_Os12g06650 LOC_Os08g02380 LOC_Os11g35030 LOC_Os08g35948 LOC_Os05g18274 LOC_Os03g14090 LOC_Os08g19590 LOC_Os04g08190"
"105","17","LOC_Os08g43920 LOC_Os08g43900 LOC_Os08g16610 LOC_Os06g12060 LOC_Os04g44330 LOC_Os03g42440 LOC_Os11g22960 LOC_Os03g55890 LOC_Os08g41530 LOC_Os01g48700 LOC_Os02g14929 LOC_Os05g01630 LOC_Os04g31210 LOC_Os01g61860 LOC_Os11g30790 LOC_Os07g19070 LOC_Os05g38470"
"106","17","LOC_Os02g12939 LOC_Os08g37800 LOC_Os04g36630 LOC_Os03g58530 LOC_Os02g03560 LOC_Os05g48380 LOC_Os04g56750 LOC_Os01g13460 LOC_Os03g16730 LOC_Os04g40090 LOC_Os04g57520 LOC_Os07g04530 LOC_Os01g09760 LOC_Os10g39220 LOC_Os08g39120 LOC_Os09g03090 LOC_Os03g29750"
"107","17","LOC_Os03g12236 LOC_Os07g39980 LOC_Os03g61820 LOC_Os02g19629.2 LOC_Os05g25780 LOC_Os01g15790 LOC_Os08g17294 LOC_Os01g63290 LOC_Os03g13480 LOC_Os04g49940 LOC_Os08g01090 LOC_Os07g40770 LOC_Os08g41910 LOC_Os08g03870 LOC_Os10g19300 LOC_Os10g39510 LOC_Os02g2936"
