"id","gene","GO_id"
"1","GRMZM5G878530","GO:0004674"
"2","GRMZM5G878530","GO:0006468"
"3","GRMZM5G878530","GO:0016772"
"4","GRMZM5G878530","GO:0005524"
"5","GRMZM2G155962","GO:0003824"
"6","GRMZM2G155962","GO:0008152"
"7","GRMZM2G155962","GO:0009507"
"8","GRMZM2G063754","GO:0006979"
"9","GRMZM2G063754","GO:0009555"
"10","GRMZM2G063754","GO:0005886"
"11","GRMZM5G834778","GO:0016272"
"12","GRMZM5G834778","GO:0051082"
"13","GRMZM5G834778","GO:0005789"
"14","GRMZM5G834778","GO:0008270"
"15","GRMZM5G834778","GO:0003676"
"16","GRMZM5G834778","GO:0016758"
"17","GRMZM5G834778","GO:0006457"
"18","GRMZM2G063756","GO:0016020"
"19","GRMZM2G063756","GO:0004497"
"20","GRMZM2G063756","GO:0046872"
"21","GRMZM2G063756","GO:0020037"
"22","GRMZM2G063756","GO:0016021"
"23","GRMZM2G063756","GO:0016705"
"24","GRMZM2G063756","GO:0009055"
"25","GRMZM2G063756","GO:0055114"
"26","GRMZM5G828253","GO:0055114"
"27","GRMZM5G828253","GO:0016491"
"28","GRMZM2G084477","GO:0031965"
"29","GRMZM2G084477","GO:0055085"
"30","GRMZM2G084473","GO:0016310"
"31","GRMZM2G084473","GO:0016301"
"32","GRMZM2G140430","GO:0008270"
"33","GRMZM2G140430","GO:0005515"
"34","GRMZM2G140432","GO:0006508"
"35","GRMZM2G140432","GO:0008236"
"36","GRMZM2G470035","GO:0000276"
"37","GRMZM2G470035","GO:0016020"
"38","GRMZM2G470035","GO:0005739"
"39","GRMZM2G470035","GO:0015986"
"40","GRMZM2G470035","GO:0008270"
"41","GRMZM2G470035","GO:0015078"
"42","GRMZM2G005341","GO:0005634"
"43","GRMZM2G005341","GO:0006260"
"44","GRMZM2G005341","GO:0003677"
"45","GRMZM2G305400","GO:0005634"
"46","GRMZM2G357923","GO:0008026"
"47","GRMZM2G357923","GO:0000166"
"48","GRMZM2G357923","GO:0003676"
"49","GRMZM2G357923","GO:0004386"
"50","GRMZM2G357923","GO:0005524"
"51","AC195343.3_FG002","GO:0005737"
"52","AC195343.3_FG002","GO:0006457"
"53","GRMZM2G359070","GO:0004018"
"54","GRMZM2G359070","GO:0009570"
"55","GRMZM2G359070","GO:0016829"
"56","GRMZM2G359070","GO:0009152"
"57","GRMZM2G359070","GO:0006188"
"58","GRMZM2G359070","GO:0009507"
"59","GRMZM2G442008","GO:0020037"
"60","GRMZM2G442008","GO:0004601"
"61","GRMZM2G442008","GO:0006979"
"62","GRMZM2G442008","GO:0046872"
"63","GRMZM2G442008","GO:0009505"
"64","GRMZM2G442008","GO:0055114"
"65","GRMZM2G442008","GO:0016491"
"66","GRMZM2G008972","GO:0005737"
"67","GRMZM2G008972","GO:0005634"
"68","GRMZM2G404922","GO:0046983"
"69","GRMZM2G057466","GO:0005515"
"70","GRMZM2G052499","GO:0043565"
"71","GRMZM2G052499","GO:0016602"
"72","GRMZM2G052499","GO:0003700"
"73","GRMZM2G052499","GO:0005634"
"74","GRMZM2G052499","GO:0005622"
"75","GRMZM2G052499","GO:0006355"
"76","GRMZM2G052499","GO:0046982"
"77","GRMZM2G404929","GO:0006508"
"78","GRMZM2G404929","GO:0004185"
"79","GRMZM2G018020","GO:0005730"
"80","GRMZM2G018020","GO:0005634"
"81","GRMZM2G018020","GO:0000398"
"82","GRMZM2G018020","GO:0000166"
"83","GRMZM2G018020","GO:0017069"
"84","GRMZM2G018020","GO:0003676"
"85","GRMZM2G018020","GO:0009651"
"86","GRMZM2G018020","GO:0005685"
"87","GRMZM2G018020","GO:0005829"
"88","GRMZM2G018022","GO:0016779"
"89","GRMZM2G018022","GO:0016740"
"90","GRMZM2G018022","GO:0008152"
"91","GRMZM2G105140","GO:0003700"
"92","GRMZM2G105140","GO:0043565"
"93","GRMZM2G105140","GO:0006355"
"94","GRMZM2G108008","GO:0003735"
"95","GRMZM2G108008","GO:0006412"
"96","GRMZM2G108008","GO:0005840"
"97","GRMZM2G108008","GO:0005622"
"98","GRMZM2G158328","GO:0003700"
"99","GRMZM2G158328","GO:0006355"
"100","GRMZM2G158328","GO:0043565"
"101","GRMZM2G471635","GO:0046983"
"102","GRMZM2G471635","GO:0080126"
"103","GRMZM2G471635","GO:0010500"
"104","GRMZM2G471635","GO:0048462"
"105","GRMZM2G471635","GO:0003677"
"106","GRMZM2G058639","GO:0016787"
"107","GRMZM2G058630","GO:0008374"
"108","GRMZM2G058630","GO:0006629"
"109","GRMZM2G111138","GO:0016070"
"110","GRMZM2G111138","GO:0003723"
"111","GRMZM2G111138","GO:0005515"
"112","GRMZM2G111138","GO:0003677"
"113","GRMZM2G111136","GO:0005634"
"114","GRMZM2G111136","GO:0003677"
"115","GRMZM2G438293","GO:0003700"
"116","GRMZM2G438293","GO:0006355"
"117","GRMZM2G438293","GO:0043565"
"118","GRMZM2G059325","GO:0016021"
"119","GRMZM2G157379","GO:0051260"
"120","GRMZM2G028501","GO:0005802"
"121","GRMZM2G028501","GO:0005768"
"122","GRMZM2G028501","GO:0016757"
"123","GRMZM2G028501","GO:0005774"
"124","GRMZM2G028500","GO:0006979"
"125","GRMZM2G028500","GO:0005739"
"126","GRMZM2G064701","GO:0016720"
"127","GRMZM2G064701","GO:0016717"
"128","GRMZM2G064701","GO:0045485"
"129","GRMZM2G064701","GO:0006629"
"130","GRMZM2G064701","GO:0055114"
"131","GRMZM5G821024","GO:0003700"
"132","GRMZM5G821024","GO:0006355"
"133","GRMZM5G821024","GO:0043565"
"134","GRMZM5G821027","GO:0003735"
"135","GRMZM5G821027","GO:0006412"
"136","GRMZM5G821027","GO:0005840"
"137","GRMZM5G821027","GO:0005622"
"138","GRMZM2G078267","GO:0046983"
"139","GRMZM2G078267","GO:0003677"
"140","GRMZM2G093146","GO:0016765"
"141","GRMZM2G070051","GO:0005515"
"142","GRMZM2G021223","GO:0016607"
"143","GRMZM2G021223","GO:0003676"
"144","GRMZM2G021223","GO:0000398"
"145","GRMZM2G021223","GO:0000166"
"146","GRMZM2G100583","GO:0006355"
"147","GRMZM2G100583","GO:0003677"
"148","GRMZM2G354746","GO:0031072"
"149","GRMZM2G354746","GO:0046872"
"150","GRMZM2G354746","GO:0006457"
"151","GRMZM2G354746","GO:0051082"
"152","GRMZM2G399284","GO:0005737"
"153","GRMZM2G399284","GO:0009535"
"154","GRMZM2G399284","GO:0006457"
"155","GRMZM2G399284","GO:0009941"
"156","GRMZM2G399284","GO:0009570"
"157","GRMZM2G399284","GO:0009579"
"158","GRMZM2G399284","GO:0005739"
"159","GRMZM2G399284","GO:0048046"
"160","GRMZM2G399284","GO:0046686"
"161","GRMZM2G399284","GO:1901671"
"162","GRMZM2G399284","GO:0009409"
"163","GRMZM2G399284","GO:0005507"
"164","GRMZM2G399284","GO:0005524"
"165","GRMZM2G399284","GO:0009507"
"166","AC214524.3_FG002","GO:0016705"
"167","AC214524.3_FG002","GO:0055114"
"168","AC214524.3_FG002","GO:0020037"
"169","AC214524.3_FG002","GO:0009055"
"170","GRMZM2G438129","GO:0055114"
"171","GRMZM2G438129","GO:0004601"
"172","GRMZM2G438129","GO:0020037"
"173","GRMZM2G438129","GO:0006979"
"174","GRMZM2G105400","GO:0009638"
"175","GRMZM2G105400","GO:0005515"
"176","GRMZM2G105400","GO:0009785"
"177","GRMZM2G105401","GO:0009553"
"178","GRMZM2G105401","GO:0005737"
"179","GRMZM2G105401","GO:0005634"
"180","GRMZM2G105401","GO:0009793"
"181","GRMZM2G105401","GO:0009960"
"182","GRMZM2G105401","GO:0010197"
"183","GRMZM2G105401","GO:0009855"
"184","GRMZM6G028976","GO:1902047"
"185","GRMZM6G028976","GO:0015846"
"186","GRMZM6G028976","GO:0015203"
"187","GRMZM2G059580","GO:0006414"
"188","GRMZM2G059580","GO:0005853"
"189","GRMZM2G059580","GO:0046686"
"190","GRMZM2G059580","GO:0005618"
"191","GRMZM2G059580","GO:0005829"
"192","GRMZM2G059580","GO:0005773"
"193","GRMZM2G059580","GO:0005515"
"194","GRMZM2G059580","GO:0005886"
"195","GRMZM2G059580","GO:0010043"
"196","GRMZM2G059580","GO:0003746"
"197","GRMZM2G059580","GO:0005507"
"198","GRMZM2G059580","GO:0009506"
"199","GRMZM2G024548","GO:0051603"
"200","GRMZM2G024548","GO:0005839"
"201","GRMZM2G024548","GO:0004298"
"202","GRMZM2G078198","GO:0005634"
"203","GRMZM2G078198","GO:0043985"
"204","GRMZM2G078198","GO:0016740"
"205","GRMZM2G078198","GO:0005515"
"206","GRMZM2G078198","GO:0000987"
"207","GRMZM2G078198","GO:0010030"
"208","GRMZM2G401835","GO:0000160"
"209","GRMZM2G401835","GO:0000156"
"210","GRMZM2G401835","GO:0006355"
"211","GRMZM2G401835","GO:0003677"
"212","GRMZM2G401835","GO:0035556"
"213","GRMZM2G401835","GO:0003682"
"214","GRMZM2G401831","GO:0005488"
"215","GRMZM2G061289","GO:0016758"
"216","GRMZM2G061289","GO:0005829"
"217","GRMZM2G061289","GO:0008152"
"218","GRMZM2G109753","GO:0009536"
"219","GRMZM2G109753","GO:0005739"
"220","GRMZM2G137236","GO:0008565"
"221","GRMZM2G137236","GO:0016192"
"222","GRMZM2G137236","GO:0006886"
"223","GRMZM2G137236","GO:0030117"
"224","GRMZM2G137236","GO:0005488"
"225","GRMZM2G137236","GO:0005886"
"226","GRMZM2G137236","GO:0030131"
"227","GRMZM2G061280","GO:0000166"
"228","GRMZM2G061280","GO:0019900"
"229","GRMZM2G061280","GO:0032588"
