"ID","gene","GO_id"
"1","GRMZM5G878530","GO:0016772"
"2","GRMZM5G878530","GO:0005524"
"3","GRMZM2G155962","GO:0003824"
"4","GRMZM2G063754","GO:0005886"
"5","GRMZM5G834778","GO:0016272"
"6","GRMZM5G834778","GO:0051082"
"7","GRMZM5G834778","GO:0005789"
"8","GRMZM5G834778","GO:0016758"
"9","GRMZM2G063756","GO:0016020"
"10","GRMZM2G063756","GO:0016021"
"11","GRMZM2G063756","GO:0009055"
"12","GRMZM2G084477","GO:0031965"
"13","GRMZM2G084473","GO:0016310"
"14","GRMZM2G084473","GO:0016301"
"15","GRMZM2G140430","GO:0005515"
"16","GRMZM2G470035","GO:0016020"
"17","GRMZM2G470035","GO:0005739"
"18","GRMZM2G470035","GO:0015986"
"19","GRMZM2G005341","GO:0005634"
"20","GRMZM2G005341","GO:0006260"
"21","GRMZM2G305400","GO:0005634"
"22","GRMZM2G357923","GO:0000166"
"23","GRMZM2G357923","GO:0004386"
"24","GRMZM2G357923","GO:0005524"
"25","AC195343.3_FG002","GO:0005737"
"26","GRMZM2G359070","GO:0004018"
"27","GRMZM2G359070","GO:0016829"
"28","GRMZM2G359070","GO:0009152"
"29","GRMZM2G359070","GO:0006188"
"30","GRMZM2G442008","GO:0004601"
"31","GRMZM2G008972","GO:0005737"
"32","GRMZM2G008972","GO:0005634"
"33","GRMZM2G057466","GO:0005515"
"34","GRMZM2G052499","GO:0043565"
"35","GRMZM2G052499","GO:0005634"
"36","GRMZM2G052499","GO:0005622"
"37","GRMZM2G052499","GO:0006355"
"38","GRMZM2G404929","GO:0004185"
"39","GRMZM2G018020","GO:0005730"
"40","GRMZM2G018020","GO:0005634"
"41","GRMZM2G018020","GO:0000166"
"42","GRMZM2G018020","GO:0017069"
"43","GRMZM2G018020","GO:0005685"
"44","GRMZM2G018020","GO:0005829"
"45","GRMZM2G018022","GO:0016779"
"46","GRMZM2G018022","GO:0016740"
"47","GRMZM2G105140","GO:0043565"
"48","GRMZM2G105140","GO:0006355"
"49","GRMZM2G108008","GO:0003735"
"50","GRMZM2G108008","GO:0005840"
"51","GRMZM2G108008","GO:0005622"
"52","GRMZM2G158328","GO:0006355"
"53","GRMZM2G158328","GO:0043565"
"54","GRMZM2G058639","GO:0016787"
"55","GRMZM2G111138","GO:0016070"
"56","GRMZM2G111138","GO:0005515"
"57","GRMZM2G111136","GO:0005634"
"58","GRMZM2G438293","GO:0006355"
"59","GRMZM2G438293","GO:0043565"
"60","GRMZM2G059325","GO:0016021"
"61","GRMZM2G157379","GO:0051260"
"62","GRMZM2G028501","GO:0005802"
"63","GRMZM2G028501","GO:0005768"
"64","GRMZM2G028501","GO:0016757"
"65","GRMZM2G028501","GO:0005774"
"66","GRMZM2G028500","GO:0005739"
"67","GRMZM2G064701","GO:0016720"
"68","GRMZM2G064701","GO:0016717"
"69","GRMZM5G821024","GO:0006355"
"70","GRMZM5G821024","GO:0043565"
"71","GRMZM5G821027","GO:0003735"
"72","GRMZM5G821027","GO:0005840"
"73","GRMZM5G821027","GO:0005622"
"74","GRMZM2G093146","GO:0016765"
"75","GRMZM2G070051","GO:0005515"
"76","GRMZM2G021223","GO:0000166"
"77","GRMZM2G100583","GO:0006355"
"78","GRMZM2G354746","GO:0031072"
"79","GRMZM2G354746","GO:0051082"
"80","GRMZM2G399284","GO:0005737"
"81","GRMZM2G399284","GO:0005739"
"82","GRMZM2G399284","GO:0048046"
"83","GRMZM2G399284","GO:0046686"
"84","GRMZM2G399284","GO:0009409"
"85","GRMZM2G399284","GO:0005507"
"86","GRMZM2G399284","GO:0005524"
"87","AC214524.3_FG002","GO:0009055"
"88","GRMZM2G438129","GO:0004601"
"89","GRMZM2G105400","GO:0005515"
"90","GRMZM2G105401","GO:0005737"
"91","GRMZM2G105401","GO:0005634"
"92","GRMZM2G059580","GO:0005853"
"93","GRMZM2G059580","GO:0046686"
"94","GRMZM2G059580","GO:0005618"
"95","GRMZM2G059580","GO:0005829"
"96","GRMZM2G059580","GO:0005773"
"97","GRMZM2G059580","GO:0005515"
"98","GRMZM2G059580","GO:0005886"
"99","GRMZM2G059580","GO:0003746"
"100","GRMZM2G059580","GO:0005507"
"101","GRMZM2G024548","GO:0005839"
"102","GRMZM2G024548","GO:0004298"
