"id","function","main_function","GO_id"
"1","mitochondrion inheritance","biological_process","GO:0000001"
"2","mitochondrial genome maintenance","biological_process","GO:0000002"
"3","reproduction","biological_process","GO:0000003"
"4","ribosomal chaperone activity","molecular_function","GO:0000005"
"5","high affinity zinc uptake transmembrane transporter activity","molecular_function","GO:0000006"
"6","low-affinity zinc ion transmembrane transporter activity","molecular_function","GO:0000007"
"7","thioredoxin","molecular_function","GO:0000008"
"8","alpha-1,6-mannosyltransferase activity","molecular_function","GO:0000009"
"9","trans-hexaprenyltranstransferase activity","molecular_function","GO:0000010"
"10","vacuole inheritance","biological_process","GO:0000011"
"11","single strand break repair","biological_process","GO:0000012"
"12","single-stranded DNA specific endodeoxyribonuclease activity","molecular_function","GO:0000014"
"13","phosphopyruvate hydratase complex","cellular_component","GO:0000015"
"14","lactase activity","molecular_function","GO:0000016"
"15","alpha-glucoside transport","biological_process","GO:0000017"
"16","regulation of DNA recombination","biological_process","GO:0000018"
"17","regulation of mitotic recombination","biological_process","GO:0000019"
"18","negative regulation of recombination within rDNA repeats","biological_process","GO:0000020"
"19","mitotic spindle elongation","biological_process","GO:0000022"
"20","maltose metabolic process","biological_process","GO:0000023"
"21","maltose biosynthetic process","biological_process","GO:0000024"
"22","maltose catabolic process","biological_process","GO:0000025"
"23","alpha-1,2-mannosyltransferase activity","molecular_function","GO:0000026"
"24","ribosomal large subunit assembly","biological_process","GO:0000027"
"25","ribosomal small subunit assembly","biological_process","GO:0000028"
"26","mannosyltransferase activity","molecular_function","GO:0000030"
"27","mannosylphosphate transferase activity","molecular_function","GO:0000031"
"28","cell wall mannoprotein biosynthetic process","biological_process","GO:0000032"
"29","alpha-1,3-mannosyltransferase activity","molecular_function","GO:0000033"
"30","adenine deaminase activity","molecular_function","GO:0000034"
"31","acyl binding","molecular_function","GO:0000035"
"32","acyl carrier activity","molecular_function","GO:0000036"
"33","very-long-chain fatty acid metabolic process","biological_process","GO:0000038"
"34","plasma membrane long-chain fatty acid transporter","molecular_function","GO:0000039"
"35","low-affinity iron ion transport","biological_process","GO:0000040"
"36","transition metal ion transport","biological_process","GO:0000041"
"37","protein targeting to Golgi","biological_process","GO:0000042"
"38","ascorbate stabilization","biological_process","GO:0000044"
"39","autophagic vacuole assembly","biological_process","GO:0000045"
"40","autophagic vacuole fusion","biological_process","GO:0000046"
"41","Rieske iron-sulfur protein","molecular_function","GO:0000047"
"42","peptidyltransferase activity","molecular_function","GO:0000048"
"43","tRNA binding","molecular_function","GO:0000049"
"44","urea cycle","biological_process","GO:0000050"
"45","urea cycle intermediate metabolic process","biological_process","GO:0000051"
"46","citrulline metabolic process","biological_process","GO:0000052"
"47","argininosuccinate metabolic process","biological_process","GO:0000053"
"48","ribosomal subunit export from nucleus","biological_process","GO:0000054"
"49","ribosomal large subunit export from nucleus","biological_process","GO:0000055"
"50","ribosomal small subunit export from nucleus","biological_process","GO:0000056"
"51","protein import into nucleus, docking","biological_process","GO:0000059"
"52","protein import into nucleus, translocation","biological_process","GO:0000060"
"53","protein import into nucleus, substrate release","biological_process","GO:0000061"
"54","acyl-CoA binding","molecular_function","GO:0000062"
"55","L-ornithine transmembrane transporter activity","molecular_function","GO:0000064"
"56","mitochondrial ornithine transport","biological_process","GO:0000066"
"57","DNA replication and chromosome cycle","biological_process","GO:0000067"
"58","mitotic sister chromatid segregation","biological_process","GO:0000070"
"59","M phase specific microtubule process","biological_process","GO:0000072"
"60","spindle pole body separation","biological_process","GO:0000073"
"61","cell cycle checkpoint","biological_process","GO:0000075"
"62","DNA replication checkpoint","biological_process","GO:0000076"
"63","DNA damage checkpoint","biological_process","GO:0000077"
"64","cell morphogenesis checkpoint","biological_process","GO:0000078"
"65","regulation of cyclin-dependent protein kinase activity","biological_process","GO:0000079"
"66","G1 phase of mitotic cell cycle","biological_process","GO:0000080"
"67","G1/S transition of mitotic cell cycle","biological_process","GO:0000082"
"68","regulation of transcription involved in G1/S-phase of mitotic cell cycle","biological_process","GO:0000083"
"69","S phase of mitotic cell cycle","biological_process","GO:0000084"
"70","G2 phase of mitotic cell cycle","biological_process","GO:0000085"
"71","G2/M transition of mitotic cell cycle","biological_process","GO:0000086"
"72","M phase of mitotic cell cycle","biological_process","GO:0000087"
"73","mitotic prophase","biological_process","GO:0000088"
"74","mitotic metaphase","biological_process","GO:0000089"
"75","mitotic anaphase","biological_process","GO:0000090"
"76","mitotic anaphase A","biological_process","GO:0000091"
"77","mitotic anaphase B","biological_process","GO:0000092"
"78","mitotic telophase","biological_process","GO:0000093"
"79","septin assembly and septum formation","biological_process","GO:0000094"
"80","S-adenosylmethionine transmembrane transporter activity","molecular_function","GO:0000095"
"81","sulfur amino acid metabolic process","biological_process","GO:0000096"
"82","sulfur amino acid biosynthetic process","biological_process","GO:0000097"
"83","sulfur amino acid catabolic process","biological_process","GO:0000098"
"84","sulfur amino acid transmembrane transporter activity","molecular_function","GO:0000099"
