"ID","Gene","TO_annotation","TO_ID"
"1","GRMZM2G141386","biochemical trait","TO:0000277"
"2","GRMZM2G141386","biological process related trait","TO:0000283"
"3","GRMZM2G141386","physiological process related trait","TO:0000349"
"4","GRMZM2G141386","leaf water potential","TO:0000131"
"5","GRMZM2G141386","relative water content","TO:0000136"
"6","GRMZM2G007206","biochemical trait","TO:0000277"
"7","GRMZM2G007206","biological process related trait","TO:0000283"
"8","GRMZM2G007206","physiological process related trait","TO:0000349"
"9","GRMZM2G007206","lignin biosynthesis trait","TO:0000733"
"10","GRMZM2G005652","biochemical trait","TO:0000277"
"11","GRMZM2G005652","biological process related trait","TO:0000283"
"12","GRMZM2G005652","physiological process related trait","TO:0000349"
"13","GRMZM2G005652","lignin biosynthesis trait","TO:0000733"
"14","GRMZM2G010871","biochemical trait","TO:0000277"
"15","GRMZM2G010871","biological process related trait","TO:0000283"
"16","GRMZM2G010871","physiological process related trait","TO:0000349"
"17","GRMZM2G010871","lignin biosynthesis trait","TO:0000733"
"18","GRMZM2G103773","biochemical trait","TO:0000277"
"19","GRMZM2G103773","biological process related trait","TO:0000283"
"20","GRMZM2G103773","physiological process related trait","TO:0000349"
"21","GRMZM2G103773","photosynthetic ability","TO:0000316"
"22","GRMZM2G172244","biochemical trait","TO:0000277"
"23","GRMZM2G172244","biological process related trait","TO:0000283"
"24","GRMZM2G172244","physiological process related trait","TO:0000349"
"25","GRMZM2G172244","photosynthetic rate","TO:0001015"
"26","GRMZM2G175818","biochemical trait","TO:0000277"
"27","GRMZM2G175818","enzymatic activity and protein content related trait","TO:0000282"
"28","GRMZM2G175818","enzyme activity trait","TO:0000599"
"29","GRMZM2G175818","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"30","GRMZM2G169890","biochemical trait","TO:0000277"
"31","GRMZM2G169890","enzymatic activity and protein content related trait","TO:0000282"
"32","GRMZM2G169890","enzyme activity trait","TO:0000599"
"33","GRMZM2G169890","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"34","GRMZM2G147481","biochemical trait","TO:0000277"
"35","GRMZM2G147481","enzymatic activity and protein content related trait","TO:0000282"
"36","GRMZM2G147481","enzyme activity trait","TO:0000599"
"37","GRMZM2G147481","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"38","GRMZM5G800112","biochemical trait","TO:0000277"
"39","GRMZM5G800112","enzymatic activity and protein content related trait","TO:0000282"
"40","GRMZM5G800112","enzyme activity trait","TO:0000599"
"41","GRMZM5G800112","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"42","GRMZM2G173067","biochemical trait","TO:0000277"
"43","GRMZM2G173067","enzymatic activity and protein content related trait","TO:0000282"
"44","GRMZM2G173067","enzyme activity trait","TO:0000599"
"45","GRMZM2G173067","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"46","GRMZM2G043584","biochemical trait","TO:0000277"
"47","GRMZM2G043584","enzymatic activity and protein content related trait","TO:0000282"
"48","GRMZM2G043584","enzyme activity trait","TO:0000599"
"49","GRMZM2G043584","ADP glucose pyrophosphorylase activity trait","TO:0000284"
"50","GRMZM2G085411","biochemical trait","TO:0000277"
"51","GRMZM2G085411","enzymatic activity and protein content related trait","TO:0000282"
"52","GRMZM2G085411","protein content","TO:0000598"
"53","GRMZM2G085411","glutamine synthetase content","TO:0000305"
"54","GRMZM2G085474","biochemical trait","TO:0000277"
"55","GRMZM2G085474","enzymatic activity and protein content related trait","TO:0000282"
"56","GRMZM2G085474","protein content","TO:0000598"
"57","GRMZM2G085474","glutamine synthetase content","TO:0000305"
"58","GRMZM2G479539","biochemical trait","TO:0000277"
"59","GRMZM2G479539","enzymatic activity and protein content related trait","TO:0000282"
"60","GRMZM2G479539","protein content","TO:0000598"
"61","GRMZM2G479539","glutamine synthetase content","TO:0000305"
"62","GRMZM2G112242","biochemical trait","TO:0000277"
"63","GRMZM2G112242","enzymatic activity and protein content related trait","TO:0000282"
"64","GRMZM2G112242","protein content","TO:0000598"
"65","GRMZM2G112242","glutamine synthetase content","TO:0000305"
"66","GRMZM2G411041","biochemical trait","TO:0000277"
"67","GRMZM2G411041","enzymatic activity and protein content related trait","TO:0000282"
"68","GRMZM2G411041","protein content","TO:0000598"
"69","GRMZM2G411041","glutamine synthetase content","TO:0000305"
"70","GRMZM2G147596","biochemical trait","TO:0000277"
"71","GRMZM2G147596","enzymatic activity and protein content related trait","TO:0000282"
"72","GRMZM2G147596","protein content","TO:0000598"
"73","GRMZM2G147596","glutamine synthetase content","TO:0000305"
"74","GRMZM2G152555","biochemical trait","TO:0000277"
"75","GRMZM2G152555","enzymatic activity and protein content related trait","TO:0000282"
"76","GRMZM2G152555","protein content","TO:0000598"
"77","GRMZM2G152555","glutamine synthetase content","TO:0000305"
