"ID","Gene","TO_annotation","TO_ID"
"1","LOC_Os01g01810","plant morphology trait","TO:0000017"
"2","LOC_Os01g01810","plant structure morphology trait","TO:0000839"
"3","LOC_Os01g01810","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"4","LOC_Os01g01810","cardinal organ part morphology trait","TO:0000754"
"5","LOC_Os01g01810","leaf lamina morphology trait","TO:0000829"
"6","LOC_Os01g01810","leaf lamina width","TO:0002720"
"7","LOC_Os01g01830","plant morphology trait","TO:0000017"
"8","LOC_Os01g01830","plant structure morphology trait","TO:0000839"
"9","LOC_Os01g01830","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"10","LOC_Os01g01830","cardinal organ part morphology trait","TO:0000754"
"11","LOC_Os01g01830","leaf lamina morphology trait","TO:0000829"
"12","LOC_Os01g01830","leaf lamina width","TO:0002720"
"13","LOC_Os01g01925","biochemical trait","TO:0000277"
"14","LOC_Os01g01925","mineral and ion content related trait","TO:0000465"
"15","LOC_Os01g01925","copper content","TO:0020092"
"16","LOC_Os01g01925","copper concentration","TO:0006052"
"17","LOC_Os01g01930","biochemical trait","TO:0000277"
"18","LOC_Os01g01930","mineral and ion content related trait","TO:0000465"
"19","LOC_Os01g01930","copper content","TO:0020092"
"20","LOC_Os01g01930","copper concentration","TO:0006052"
"21","LOC_Os01g01940","biochemical trait","TO:0000277"
"22","LOC_Os01g01940","mineral and ion content related trait","TO:0000465"
"23","LOC_Os01g01940","copper content","TO:0020092"
"24","LOC_Os01g01940","copper concentration","TO:0006052"
"25","LOC_Os01g01950","biochemical trait","TO:0000277"
"26","LOC_Os01g01950","mineral and ion content related trait","TO:0000465"
"27","LOC_Os01g01950","copper content","TO:0020092"
"28","LOC_Os01g01950","copper concentration","TO:0006052"
"29","LOC_Os01g01960","biochemical trait","TO:0000277"
"30","LOC_Os01g01960","mineral and ion content related trait","TO:0000465"
"31","LOC_Os01g01960","copper content","TO:0020092"
"32","LOC_Os01g01960","copper concentration","TO:0006052"
"33","LOC_Os01g01970","biochemical trait","TO:0000277"
"34","LOC_Os01g01970","mineral and ion content related trait","TO:0000465"
"35","LOC_Os01g01970","copper content","TO:0020092"
"36","LOC_Os01g01970","copper concentration","TO:0006052"
"37","LOC_Os01g01950","plant morphology trait","TO:0000017"
"38","LOC_Os01g01950","plant structure morphology trait","TO:0000839"
"39","LOC_Os01g01950","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"40","LOC_Os01g01950","cardinal organ part morphology trait","TO:0000754"
"41","LOC_Os01g01950","leaf lamina morphology trait","TO:0000829"
"42","LOC_Os01g01950","leaf lamina length","TO:0002690"
"43","LOC_Os01g01960","plant morphology trait","TO:0000017"
"44","LOC_Os01g01960","plant structure morphology trait","TO:0000839"
"45","LOC_Os01g01960","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"46","LOC_Os01g01960","cardinal organ part morphology trait","TO:0000754"
"47","LOC_Os01g01960","leaf lamina morphology trait","TO:0000829"
"48","LOC_Os01g01960","leaf lamina length","TO:0002690"
"49","LOC_Os01g01970","plant morphology trait","TO:0000017"
"50","LOC_Os01g01970","plant structure morphology trait","TO:0000839"
"51","LOC_Os01g01970","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"52","LOC_Os01g01970","cardinal organ part morphology trait","TO:0000754"
"53","LOC_Os01g01970","leaf lamina morphology trait","TO:0000829"
"54","LOC_Os01g01970","leaf lamina length","TO:0002690"
"55","LOC_Os01g01980","plant morphology trait","TO:0000017"
"56","LOC_Os01g01980","plant structure morphology trait","TO:0000839"
"57","LOC_Os01g01980","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"58","LOC_Os01g01980","cardinal organ part morphology trait","TO:0000754"
"59","LOC_Os01g01980","leaf lamina morphology trait","TO:0000829"
"60","LOC_Os01g01980","leaf lamina length","TO:0002690"
"61","LOC_Os01g01990","plant morphology trait","TO:0000017"
"62","LOC_Os01g01990","plant structure morphology trait","TO:0000839"
"63","LOC_Os01g01990","cardinal part of a multi-tissue plant structure morphology trait","TO:0000837"
"64","LOC_Os01g01990","cardinal organ part morphology trait","TO:0000754"
"65","LOC_Os01g01990","leaf lamina morphology trait","TO:0000829"
"66","LOC_Os01g01990","leaf lamina length","TO:0002690"
"67","LOC_Os01g01980","biochemical trait","TO:0000277"
"68","LOC_Os01g01980","mineral and ion content related trait","TO:0000465"
"69","LOC_Os01g01980","copper content","TO:0020092"
"70","LOC_Os01g01980","copper concentration","TO:0006052"
"71","LOC_Os01g01990","biochemical trait","TO:0000277"
"72","LOC_Os01g01990","mineral and ion content related trait","TO:0000465"
"73","LOC_Os01g01990","copper content","TO:0020092"
"74","LOC_Os01g01990","copper concentration","TO:0006052"
"75","LOC_Os01g02000","biochemical trait","TO:0000277"
"76","LOC_Os01g02000","mineral and ion content related trait","TO:0000465"
"77","LOC_Os01g02000","copper content","TO:0020092"
"78","LOC_Os01g02000","copper concentration","TO:0006052"
"79","LOC_Os01g02420","plant morphology trait","TO:0000017"
"80","LOC_Os01g02420","plant structure morphology trait","TO:0000839"
"81","LOC_Os01g02420","whole plant morphology trait","TO:0000398"
"82","LOC_Os01g02420","whole plant size","TO:1000012"
"83","LOC_Os01g02420","plant height","TO:0000207"
"84","LOC_Os01g02430","plant morphology trait","TO:0000017"
"85","LOC_Os01g02430","plant structure morphology trait","TO:0000839"
"86","LOC_Os01g02430","whole plant morphology trait","TO:0000398"
"87","LOC_Os01g02430","whole plant size","TO:1000012"
"88","LOC_Os01g02430","plant height","TO:0000207"
"89","LOC_Os01g02440","plant morphology trait","TO:0000017"
"90","LOC_Os01g02440","plant structure morphology trait","TO:0000839"
"91","LOC_Os01g02440","whole plant morphology trait","TO:0000398"
"92","LOC_Os01g02440","whole plant size","TO:1000012"
"93","LOC_Os01g02440","plant height","TO:0000207"
"94","LOC_Os01g02450","plant morphology trait","TO:0000017"
"95","LOC_Os01g02450","plant structure morphology trait","TO:0000839"
"96","LOC_Os01g02450","whole plant morphology trait","TO:0000398"
"97","LOC_Os01g02450","whole plant size","TO:1000012"
"98","LOC_Os01g02450","plant height","TO:0000207"
"99","LOC_Os01g02460","plant morphology trait","TO:0000017"
"100","LOC_Os01g02460","plant structure morphology trait","TO:0000839"
"101","LOC_Os01g02460","whole plant morphology trait","TO:0000398"
"102","LOC_Os01g02460","whole plant size","TO:1000012"
"103","LOC_Os01g02460","plant height","TO:0000207"
"104","LOC_Os01g02470","plant morphology trait","TO:0000017"
"105","LOC_Os01g02470","plant structure morphology trait","TO:0000839"
"106","LOC_Os01g02470","whole plant morphology trait","TO:0000398"
"107","LOC_Os01g02470","whole plant size","TO:1000012"
"108","LOC_Os01g02470","plant height","TO:0000207"
"109","LOC_Os01g02480","plant morphology trait","TO:0000017"
"110","LOC_Os01g02480","plant structure morphology trait","TO:0000839"
"111","LOC_Os01g02480","whole plant morphology trait","TO:0000398"
"112","LOC_Os01g02480","whole plant size","TO:1000012"
"113","LOC_Os01g02480","plant height","TO:0000207"
"114","LOC_Os01g02540","plant morphology trait","TO:0000017"
"115","LOC_Os01g02540","plant structure morphology trait","TO:0000839"
"116","LOC_Os01g02540","whole plant morphology trait","TO:0000398"
"117","LOC_Os01g02540","whole plant size","TO:1000012"
"118","LOC_Os01g02540","plant height","TO:0000207"
"119","LOC_Os01g02550","plant morphology trait","TO:0000017"
"120","LOC_Os01g02550","plant structure morphology trait","TO:0000839"
"121","LOC_Os01g02550","whole plant morphology trait","TO:0000398"
"122","LOC_Os01g02550","whole plant size","TO:1000012"
"123","LOC_Os01g02550","plant height","TO:0000207"
"124","LOC_Os01g02560","plant morphology trait","TO:0000017"
"125","LOC_Os01g02560","plant structure morphology trait","TO:0000839"
"126","LOC_Os01g02560","whole plant morphology trait","TO:0000398"
"127","LOC_Os01g02560","whole plant size","TO:1000012"
"128","LOC_Os01g02560","plant height","TO:0000207"
"129","LOC_Os01g02570","plant morphology trait","TO:0000017"
"130","LOC_Os01g02570","plant structure morphology trait","TO:0000839"
"131","LOC_Os01g02570","whole plant morphology trait","TO:0000398"
"132","LOC_Os01g02570","whole plant size","TO:1000012"
"133","LOC_Os01g02570","plant height","TO:0000207"
"134","LOC_Os01g02570","stress trait","TO:0000164"
"135","LOC_Os01g02570","biotic stress trait","TO:0000179"
"136","LOC_Os01g02570","crop damage resistance","TO:0000236"
"137","LOC_Os01g02570","disease resistance","TO:0000112"
"138","LOC_Os01g02570","fungal disease resistance","TO:0000439"
"139","LOC_Os01g02570","blast disease resistance","TO:0000074"
"140","LOC_Os01g02580","stress trait","TO:0000164"
"141","LOC_Os01g02580","biotic stress trait","TO:0000179"
"142","LOC_Os01g02580","crop damage resistance","TO:0000236"
