"ID","gene","pathway"
"1","GRMZM2G166940","homogalacturonan biosynthesis"
"2","GRMZM5G875287","adenosine nucleotides <i>de novo<i> biosynthesis"
"3","GRMZM5G800980","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"4","GRMZM5G800980","aerobic respiration -- electron donor II"
"5","GRMZM5G800980","NADNADH phosphorylation and dephosphorylation"
"6","GRMZM5G808402","adenosine nucleotides <i>de novo<i> biosynthesis"
"7","GRMZM5G815453","Calvin-Benson-Bassham cycle"
"8","GRMZM5G815453","Rubisco shunt"
"9","GRMZM5G876106","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"10","GRMZM5G876106","aerobic respiration -- electron donor II"
"11","GRMZM5G876106","NADNADH phosphorylation and dephosphorylation"
"12","GRMZM5G894515","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"13","GRMZM5G894515","aerobic respiration -- electron donor II"
"14","GRMZM5G894515","NADNADH phosphorylation and dephosphorylation"
"15","GRMZM5G800096","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"16","GRMZM5G800096","aerobic respiration -- electron donor II"
"17","GRMZM5G800096","NADNADH phosphorylation and dephosphorylation"
"18","GRMZM5G835775","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"19","GRMZM5G835775","aerobic respiration -- electron donor II"
"20","GRMZM5G835775","NADNADH phosphorylation and dephosphorylation"
"21","GRMZM5G864407","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"22","GRMZM5G864407","aerobic respiration -- electron donor II"
"23","GRMZM5G864407","NADNADH phosphorylation and dephosphorylation"
"24","GRMZM5G866223","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"25","GRMZM5G866223","aerobic respiration -- electron donor II"
"26","GRMZM5G866223","NADNADH phosphorylation and dephosphorylation"
"27","GRMZM5G874448","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"28","GRMZM5G874448","aerobic respiration -- electron donor II"
"29","GRMZM5G874448","NADNADH phosphorylation and dephosphorylation"
"30","GRMZM5G853723","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"31","GRMZM5G853723","aerobic respiration -- electron donor II"
"32","GRMZM5G853723","NADNADH phosphorylation and dephosphorylation"
"33","GRMZM5G810298","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"34","GRMZM5G810298","aerobic respiration -- electron donor II"
"35","GRMZM5G810298","NADNADH phosphorylation and dephosphorylation"
"36","GRMZM5G851708","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"37","GRMZM5G851708","aerobic respiration -- electron donor II"
"38","GRMZM5G851708","NADNADH phosphorylation and dephosphorylation"
"39","GRMZM5G854065","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"40","GRMZM5G854065","aerobic respiration -- electron donor II"
"41","GRMZM5G854065","NADNADH phosphorylation and dephosphorylation"
"42","GRMZM5G804358","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"43","GRMZM5G804358","aerobic respiration -- electron donor II"
"44","GRMZM5G804358","NADNADH phosphorylation and dephosphorylation"
"45","GRMZM5G839924","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"46","GRMZM5G839924","aerobic respiration -- electron donor II"
"47","GRMZM5G839924","NADNADH phosphorylation and dephosphorylation"
"48","GRMZM5G884912","adenosine nucleotides <i>de novo<i> biosynthesis"
"49","GRMZM5G834128","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"50","GRMZM5G834128","aerobic respiration -- electron donor II"
"51","GRMZM5G834128","NADNADH phosphorylation and dephosphorylation"
"52","GRMZM5G856027","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"53","GRMZM5G856027","aerobic respiration -- electron donor II"
"54","GRMZM5G856027","NADNADH phosphorylation and dephosphorylation"
"55","GRMZM5G876913","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"56","GRMZM5G876913","aerobic respiration -- electron donor II"
"57","GRMZM5G876913","NADNADH phosphorylation and dephosphorylation"
"58","GRMZM5G884707","aerobic respiration -- electron donor II"
"59","GRMZM5G800101","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"60","GRMZM5G800101","aerobic respiration -- electron donor II"
"61","GRMZM5G800101","NADNADH phosphorylation and dephosphorylation"
"62","GRMZM5G884538","aerobic respiration -- electron donor II"
"63","GRMZM5G887911","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"64","GRMZM5G887911","aerobic respiration -- electron donor II"
"65","GRMZM5G887911","NADNADH phosphorylation and dephosphorylation"
"66","GRMZM5G862955","aerobic respiration -- electron donor II"
"67","GRMZM5G836544","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"68","GRMZM5G836544","aerobic respiration -- electron donor II"
"69","GRMZM5G836544","NADNADH phosphorylation and dephosphorylation"
"70","GRMZM5G897755","NADH to cytochrome <i>bd<i> oxidase electron transfer"
"71","GRMZM5G897755","aerobic respiration -- electron donor II"
"72","GRMZM5G897755","NADNADH phosphorylation and dephosphorylation"
"73","GRMZM2G040843","glycogen degradation II"
"74","GRMZM2G040843","glycogen degradation I"
"75","GRMZM2G173724","phosphate acquisition"
"76","GRMZM2G173724","phosphate utilization in cell wall regeneration"
"77","GRMZM2G173724","NADNADH phosphorylation and dephosphorylation"
"78","GRMZM2G098596","fatty acid &beta;-oxidation II (core pathway)"
"79","GRMZM2G098596","fatty acid activation"
"80","GRMZM2G098596","linoleate biosynthesis I (plants)"
"81","GRMZM2G176546","fatty acid &beta;-oxidation II (core pathway)"
"82","GRMZM2G176546","fatty acid activation"
"83","GRMZM2G176546","linoleate biosynthesis I (plants)"
"84","GRMZM2G130062","leucine biosynthesis"
"85","GRMZM2G317287","oleate biosynthesis I (plants)"
"86","GRMZM2G180155","UDP-<i>N<i>-acetyl-D-glucosamine biosynthesis II"
"87","GRMZM2G151977","homoserine biosynthesis"
"88","GRMZM2G151977","lysine biosynthesis VI"
"89","GRMZM2G151977","homoserine biosynthesis"
"90","GRMZM2G320305","photosynthesis light reactions"
"91","GRMZM2G036918","homogalacturonan biosynthesis"
"92","GRMZM2G129775","betanidin degradation"
"93","GRMZM2G387760","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"94","GRMZM2G361968","UDP-glucose biosynthesis (from glucose 6-phosphate)"
"95","GRMZM2G044736","UDP-glucose biosynthesis (from glucose 6-phosphate)"
