"ID","gene","pathway"
"1","LOC_Os04g12950","cytokinins-<i>O</i>-glucoside biosynthesis"
"2","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"3","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"4","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"5","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"6","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"7","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"8","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"9","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"10","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"11","LOC_Os04g12950","cytokinins-<i>O</i>-glucoside biosynthesis"
"12","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"13","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"14","LOC_Os04g12950","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"15","LOC_Os04g12950","IAA conjugate biosynthesis I"
"16","LOC_Os04g12950","IAA conjugate biosynthesis II"
"17","LOC_Os04g12950","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"18","LOC_Os04g12950","cytokinins-<i>O</i>-glucoside biosynthesis"
"19","LOC_Os04g12950","cytokinins-<i>O</i>-glucoside biosynthesis"
"20","LOC_Os08g02540","salvage pathways of purine and pyrimidine nucleotides"
"21","LOC_Os08g02540","purine nucleotides <i>de novo</i> biosynthesis I"
"22","LOC_Os06g40890","homogalacturonan degradation"
"23","LOC_Os08g40440","brassinosteroid biosynthesis II"
"24","LOC_Os02g09120","tRNA charging pathway"
"25","LOC_Os02g09120","tRNA charging pathway"
"26","LOC_Os02g09120","tRNA charging pathway"
"27","LOC_Os09g31506","brassinosteroid biosynthesis II"
"28","LOC_Os09g31506","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)"
"29","LOC_Os09g31506","galactose degradation II"
"30","LOC_Os09g31506","UDP-glucose conversion"
"31","LOC_Os09g31506","UDP-<i>N</i>-acetylgalactosamine biosynthesis"
"32","LOC_Os02g40010","salvage pathways of purine nucleosides"
"33","LOC_Os02g40010","salvage pathways of purine and pyrimidine nucleotides"
"34","LOC_Os02g40010","salvage pathways of purine nucleosides II (plant)"
"35","LOC_Os02g40010","salvage pathways of adenine hypoxanthine and their nucleosides"
"36","LOC_Os05g44210","trehalose biosynthesis I"
"37","LOC_Os02g02340","phospholipid biosynthesis I"
"38","LOC_Os03g05730","chlorophyllide <i>a</i> biosynthesis"
"39","LOC_Os01g34270","mevalonate pathway"
"40","LOC_Os11g08750","homogalacturonan degradation"
"41","LOC_Os02g54290","tRNA charging pathway"
"42","LOC_Os05g40420","gluconeogenesis"
"43","LOC_Os05g40420","glycolysis IV (plant cytosol)"
"44","LOC_Os05g40420","sucrose degradation to ethanol and lactate (anaerobic)"
"45","LOC_Os05g40420","glycolysis I"
"46","LOC_Os06g51084","starch biosynthesis"
"47","LOC_Os07g40974","brassinosteroid biosynthesis II"
"48","LOC_Os02g42280","cytokinins-<i>O</i>-glucoside biosynthesis"
"49","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"50","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"51","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"52","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"53","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"54","LOC_Os02g42280","cytokinins-<i>O</i>-glucoside biosynthesis"
"55","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"56","LOC_Os02g42280","cytokinins-<i>O</i>-glucoside biosynthesis"
"57","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"58","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"59","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"60","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"61","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"62","LOC_Os02g42280","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"63","LOC_Os02g42280","cytokinins-<i>O</i>-glucoside biosynthesis"
"64","LOC_Os02g42280","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"65","LOC_Os07g42970","cytokinins-<i>O</i>-glucoside biosynthesis"
"66","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"67","LOC_Os07g42970","cytokinins 7-<i>N</i>-glucoside biosynthesis"
"68","LOC_Os07g42970","cytokinins 9-<i>N</i>-glucoside biosynthesis"
"69","LOC_Os07g42970","cytokinins-<i>O</i>-glucoside biosynthesis"
